,,,,,,,,,,,,,,,,
Mix%,Face A,,,,Face B,,,,Face C,,,,Face D,,,
,HEX1,L1,C1,h1,HEX2,L2,C2,h2,HEX3,L3,C3,h3,HEX4,L4,C4,h4
0,#bdc5c9,79.1344679,3.53947124,227.32373,#bec5c8,79.0308809,3.44046284,230.483859,#bdc5c9,78.98275,3.61782394,231.865881,#bec6ca,79.3858072,3.59460503,230.256134
0.5,#a8b0b6,71.3003468,4.48925379,240.233147,#9da4a7,66.8047742,3.2009008,237.016937,#9da3a5,66.5476689,2.39493383,221.283079,#abb4ba,72.8190926,5.00405191,238.401605
1,#91989f,62.2927627,4.90900315,251.47273,#90979c,61.9324284,4.28755379,243.842802,#92999d,62.6744984,3.65704734,238.732666,#91989e,62.4438325,4.40245507,242.96356
1.5,#88919a,59.5846277,6.17620197,251.000013,#828b92,57.2557951,5.56976309,247.558583,#7e858b,55.1946401,4.35259558,245.155398,#7f868c,55.5346285,4.3254223,245.153361
2,#7c868f,55.2625126,6.53015416,249.950159,#788088,53.255078,5.29786009,248.163598,#7c848c,54.7964094,5.39913738,246.864448,#777f86,52.6502522,5.27442933,248.210088
3,#6a747d,48.2201174,6.47961564,248.655084,#69727b,47.5067019,6.64998761,250.186034,#6a737c,48.0032337,6.63484595,250.166809,#667078,46.5128218,6.43105322,250.502712
4,#626d76,45.1900982,7.14221375,249.767033,#5f6871,43.5622972,6.55507906,251.954118,#606a74,44.1723073,7.39756407,252.418591,#5b646c,41.6875997,6.15072181,251.192501
5,#566069,39.9664329,7.3727839,251.992437,#565f69,39.8717775,7.18212321,251.678625,#57626c,40.8223064,7.88660761,252.262206,#545e67,39.1636189,7.09128048,251.789698
7.5,#4c565f,36.0073551,7.13217767,251.244237,#474e55,32.6399356,5.4798019,250.683989,#4d5762,36.3987381,8.19243113,254.910276,#485058,33.4127178,6.13662573,251.634831
10,#414a52,30.8177936,6.36420719,250.327858,#3f474f,29.6339458,6.12277716,254.357548,#434c57,31.8820934,7.90795284,255.439642,#3c434c,28.065421,6.470959,256.252239
15,#424b54,31.2778621,7.19092678,253.129086,#32363b,22.4264991,3.99155433,252.662031,#394047,26.5409604,5.99465236,255.034273,#4a5560,35.3063343,8.31491602,253.673054
20,#3c454e,28.5951432,7.36115958,255.788492,#31373a,22.4849421,3.65808648,243.254569,#2e3339,20.8917047,4.70422278,255.947992,#404a55,30.9710003,8.30606184,253.263119
25,#31373e,22.7339638,5.14443765,253.170371,#2b3034,19.377192,3.80607651,248.1143,#2d3135,19.8964918,3.62619151,254.415479,#2e343a,21.3033063,4.90135642,253.518475
30,#32383f,23.1090035,5.38099595,255.642545,#222527,14.5138785,2.13364254,248.221307,#292d31,18.3086817,3.27207777,253.215371,#323a44,24.074732,7.24977888,255.692841
35,#25292c,16.2128451,2.86242961,252.940535,#202224,13.1520017,1.61215291,245.857655,#222426,14.1790367,1.76026513,250.690067,#292f35,18.8545081,5.03109692,255.326306
40,#262a2e,16.863879,3.36918247,250.861549,#202224,13.1079911,1.60539169,241.571185,#1d1e1d,10.907841,0.549572123,159.013999,#343c45,24.8198507,7.11233311,254.733143
45,#232629,14.9403096,2.95189662,250.147818,#202224,13.1896334,1.86723343,246.25864,#1d1e1e,11.0664939,0.546761296,195.291917,#272d33,18.0462401,4.77679953,254.191243
50,#222528,14.5576275,2.7278577,251.681662,#1c1d1d,10.5803572,0.518040921,175.860772,#1a1b19,9.47790922,1.30218982,111.831996,#24282d,15.9440909,3.70484989,250.418496
55,#181816,8.31668879,1.67346356,103.813951,#202223,13.1708373,1.15690651,228.387134,#1b1b1a,9.72154079,1.13268157,114.136377,#1a1b1a,9.72391658,0.852071292,140.297816
60,#191814,8.35995055,2.7855189,99.3507579,#1c1d1d,10.6026684,0.485678295,186.114911,#1c1d1b,10.4868646,0.905557791,121.805506,#1d1e1d,10.9820484,0.703250444,147.743029
65,#1b1a17,9.4282409,2.27546992,101.953143,#1b1b1a,9.8081391,1.01098119,125.557097,#1c1d1b,10.4635942,0.987270413,119.220591,#1b1b19,9.65389281,1.07055163,115.397135
70,#1a1916,8.86614343,2.37225506,100.840266,#191917,8.83587628,1.34873876,107.811984,#1b1c1a,10.1890487,1.33942312,119.119893,#181815,8.20199411,1.93521803,103.412723
75,#1a1917,8.83311791,1.93933827,100.086401,#191917,8.6147037,1.67473637,106.92875,#1a1a18,9.20954026,1.69553629,105.161707,#171714,7.74873525,2.05113423,101.092586
80,#181713,7.88648298,2.69929412,98.7503442,#191815,8.3287567,2.15097431,99.8073175,#1b1b1a,9.90921474,1.21839066,111.989873,#171713,7.46881843,2.12624697,100.185632
85,#181814,8.11492796,2.61863185,99.4882441,#1b1b19,9.90350019,1.78928694,106.650239,#1b1b17,9.45868774,2.24698677,104.905893,#171613,7.3479348,2.2016547,100.455334
90,#1a1916,8.76034492,2.36302434,96.8009505,#191815,8.46975994,2.41880256,97.1813965,#181715,7.90005432,1.99262389,97.9339184,#181814,8.01710862,2.30657956,96.7023568
92.5,#191916,8.64573646,2.09947742,98.9383195,#171612,7.23829421,2.55406916,96.9200724,#181714,7.82690555,2.5069491,96.4541922,#171714,7.64188259,2.14407438,96.0577261
95,#1a1916,8.80611077,2.5271361,98.0212361,#171713,7.58723371,2.62396725,97.4709896,#181714,7.83844478,2.54111342,98.1528705,#181714,7.71835193,2.34463203,97.5894273
96,#191915,8.64516013,2.72777339,98.6175933,#181814,8.13814418,2.38257168,96.7922236,#191815,8.21968523,2.07781464,97.2103714,#181714,7.77149551,2.37511213,97.2376249
97,#191916,8.65850278,2.15036735,96.9751563,#181714,7.90536,2.59429841,98.1530672,#191915,8.47980969,2.50262636,98.707392,#151410,6.30357473,2.44547904,95.3084858
98,#191914,8.53056578,3.01654474,98.6461728,#171714,7.59952837,2.05028965,95.8897001,#191915,8.46965528,2.53908814,97.5607914,#161612,7.02801647,2.25947524,97.3656839
98.5,#191915,8.67421745,2.77828795,98.8754616,#171613,7.29886479,2.08547273,95.5871852,#171713,7.52942027,2.59701995,99.4003231,#151411,6.3120857,2.11385498,95.6174944
99,#191815,8.34660037,2.21834244,96.2596991,#181714,7.70213355,2.30348133,98.2287558,#181713,7.87475252,2.66663465,98.2492224,#161511,6.64698977,2.53792249,97.3474231
99.5,#1a1915,8.68549698,2.79001491,97.9285157,#161612,7.07692999,2.327082,97.0618102,#171612,7.19335093,2.51252237,97.0094423,#151411,6.36415138,2.13792976,95.5211661
100,#191915,8.54423879,2.54876148,97.6993704,#161511,6.63879566,2.52632224,96.9433653,#161612,7.10905973,2.43926873,97.2923374,#14130f,5.83348922,2.26512474,96.1614425
