,,,,,,,,,,,,,,,,
Mix%,Face A,,,,Face B,,,,Face C,,,,Face D,,,
,HEX1,L1,C1,h1,HEX2,L2,C2,h2,HEX3,L3,C3,h3,HEX4,L4,C4,h4
0,#bb3c8d,46.9250345,59.4294062,343.866284,#b93c8c,46.4572336,58.8072995,343.524604,#ba3c8c,46.6749632,58.9804647,343.637605,#b93c8b,46.4273849,58.5526024,343.784112
0.5,#b73f8d,46.5935438,57.4579598,342.46003,#b33f8c,45.9204301,56.522027,341.61621,#b43e8c,45.9249417,56.8445283,342.115963,#b63e8c,46.1787633,57.3408516,342.623481
1,#b53f8e,46.3882588,57.0858868,341.810877,#b33e8c,45.774087,56.7504944,341.498967,#b33e8c,45.8325875,56.7503462,341.644168,#b33e8c,45.824947,56.7327257,341.740275
1.5,#b43f8d,46.105425,56.8090537,341.338267,#b13f8c,45.5095895,56.1468005,340.909777,#b23f8c,45.6808672,55.9990467,341.034681,#b13f8c,45.7025996,55.9506315,340.962402
2,#b2408e,45.8772986,56.0429665,340.561559,#af408c,45.3425857,55.4293544,340.1878,#b0408c,45.4775714,55.4408241,340.452897,#b0408c,45.536308,55.3365208,340.469401
3,#ae418e,45.4713016,54.981627,339.264525,#ac418d,44.9941974,54.4273235,339.047535,#ad418d,45.2608625,54.5553273,339.495965,#ad418c,45.1886158,54.362368,339.508176
4,#ab428e,45.1396912,53.9645691,338.192762,#a9428d,44.6726557,53.1447936,337.832731,#aa428d,44.8718039,53.3988862,338.103316,#a9418d,44.6893036,53.4965303,338.082718
5,#a9428e,44.7523258,53.5115849,337.176925,#a7438d,44.4986726,52.5003822,337.005342,#a7428d,44.5439464,52.7478496,337.183827,#a7438d,44.4529984,52.3603658,336.960085
7.5,#a4458f,44.3987984,51.4312825,334.874824,#a1468e,44.028797,50.0853261,334.112137,#a2448d,43.9804732,50.9272627,335.124783,#a2448d,44.0308315,50.7793941,334.989128
10,#9d468f,43.6319172,49.6753719,331.643318,#9b478e,43.4350703,48.6244548,331.37605,#9c458e,43.2686614,49.349458,332.164547,#9b468e,43.2453013,48.8920026,331.425077
15,#9a4790,43.3610059,48.7715726,330.323549,#8e488d,41.6454334,45.2500096,326.090687,#91488d,41.9232235,46.0145777,327.515609,#95468c,42.1338036,47.4762981,329.732089
20,#924991,42.6881206,46.9259096,326.506431,#8c488e,41.4118831,45.8224996,324.539929,#884b8f,41.4312757,43.9057847,321.942361,#8c478d,41.2354926,45.5290855,325.079186
25,#8b4c92,42.2170536,45.3521495,322.177055,#834c91,41.0715965,43.5951903,318.27973,#844c90,41.2599423,43.0929538,319.478482,#88498f,40.9930326,45.2763456,322.14121
30,#864d94,41.9215889,44.4890223,318.817924,#824d93,41.2515624,43.4796913,317.147335,#7d5093,41.2873792,41.3316048,314.00149,#834b90,40.8311951,43.4171719,319.071003
35,#805096,41.7997569,43.29512,314.997685,#7a5196,41.4313538,41.4846715,311.479844,#795093,41.0135821,40.9530961,311.878521,#7d4e92,40.7016102,42.3805714,314.751451
40,#7f5096,41.5751388,43.2368309,313.993354,#775297,41.3644122,41.4878091,309.347129,#705497,41.0844874,39.9781513,304.772483,#735195,40.4501737,40.7068486,307.966507
45,#76549a,41.6710432,41.7282588,307.393483,#6d5599,41.0136983,40.0610259,302.361733,#705599,41.2862867,40.3439604,304.282979,#715297,40.5647565,41.390911,306.445057
50,#74559b,41.7745026,41.7237162,305.920337,#6f549a,41.0882795,41.1038211,303.915843,#6f5399,40.764451,41.2045212,304.381318,#69579c,41.3068794,40.1159189,299.130413
55,#6a5b9f,42.4754556,40.0385235,297.787659,#6e569c,41.5294078,41.0545221,302.027679,#6b569b,41.0595021,40.6610146,300.805761,#65589c,41.0591491,39.5690598,296.463747
60,#5c63a6,43.6850659,38.9040208,286.314652,#68599e,41.5728027,40.6385728,297.768631,#6a569c,41.0894514,41.2554289,300.036705,#5f5c9f,41.6473044,39.4679852,291.691955
65,#5f60a5,43.2019087,40.2601185,289.296879,#625ca1,41.9660207,40.3430776,293.358455,#605ca1,41.9138349,40.1702988,291.930293,#5b5da1,41.854501,39.6170772,289.023255
70,#5964a8,43.8174385,40.2293447,285.203704,#5f5fa5,42.7652579,40.7081017,289.945056,#5a5fa3,42.4206319,39.6602559,287.445871,#5661a4,42.6331958,39.534535,284.992899
75,#5267ab,44.3873934,40.4000483,280.37971,#5862a7,43.0674444,40.3775166,285.655755,#5563a6,43.0390801,39.9526663,283.593167,#4f65a8,43.3960569,39.6479,279.727981
80,#486db1,45.6499748,40.9476698,274.183278,#4f68ac,44.5061882,40.4565555,278.455294,#5063a7,42.9071025,40.0153131,281.009315,#4868ab,44.1548532,39.8938394,275.539526
85,#3d71b5,46.627339,41.6039664,268.749227,#4b6aaf,45.0630265,41.1658366,276.291797,#456baf,44.8882022,40.9053966,273.745729,#3d6eb0,45.4438479,40.7298803,269.116455
90,#3f71b6,46.6596129,42.1070132,269.711725,#3e71b4,46.4256575,41.4913744,269.251492,#3d70b4,46.2583266,41.7903636,269.372279,#436db2,45.5295209,41.7298816,272.635469
92.5,#2c78bb,48.198905,43.4376413,263.082198,#2d76b9,47.7509506,42.742875,263.103881,#3075b9,47.5661227,42.9359843,264.369161,#2977ba,47.7310528,43.2659203,262.475449
95,#1f7bbe,49.056285,44.1195258,259.763436,#207abc,48.6348402,43.5583128,259.690763,#1c7abd,48.6991428,43.9489757,259.324738,#1b7abc,48.512991,43.911467,259.275945
96,#117dc0,49.5510791,44.6787723,257.716374,#0f7cbe,49.2535709,44.2369471,257.101522,#107cbe,49.1187118,44.3658528,257.622348,#0c7cbe,49.0229209,44.4055288,257.272912
97,#007fc1,49.9397871,45.3124714,255.495934,#007ebf,49.6452983,44.5285812,255.702368,#007ec0,49.5366389,45.067365,255.459531,#007ebf,49.4543565,44.8827755,255.630081
98,#0081c3,50.4499758,46.223707,252.946766,#0080c1,50.1807185,45.216429,253.714303,#0080c2,50.1575336,45.5229388,253.383952,#0080c1,50.001652,45.586637,253.62362
98.5,#0083c4,50.7810432,46.5915199,251.647714,#0081c2,50.327299,45.5562005,252.847511,#0081c2,50.3087525,45.8767187,252.650116,#0081c2,50.2440569,45.9131061,252.59124
99,#0083c5,51.0438339,46.601584,251.568888,#0083c3,50.7346011,45.9611168,251.012747,#0082c3,50.7466641,45.9966766,251.716239,#0082c3,50.5888462,46.4599764,251.238533
99.5,#0085c6,51.3637092,47.0298994,250.003205,#0083c4,50.934395,46.1492207,251.068358,#0084c4,51.1447676,46.3634757,250.435933,#0084c4,50.9922819,46.8033567,249.676694
100,#0085c6,51.3549531,47.3818101,249.686111,#0083c3,50.8472228,46.3433037,250.280499,#0084c5,51.1495823,46.8684857,249.965269,#0083c4,50.7694684,46.8018131,250.023217
