,,,,,,,,,,,,,,,,
Mix%,Face A,,,,Face B,,,,Face C,,,,Face D,,,
,HEX1,L1,C1,h1,HEX2,L2,C2,h2,HEX3,L3,C3,h3,HEX4,L4,C4,h4
0,#008abf,52.6791001,43.5326828,241.524542,#0087b3,51.0950197,42.3259075,233.625718,,,,,#0086b9,50.965444,43.5006627,239.101279
0.5,#008abe,52.7151727,43.2288335,239.765071,#0088b3,51.2390467,42.356163,232.381498,#0088b2,51.2452849,42.2394427,231.67971,#0086ba,51.1139258,43.9017123,239.933245
1,#008cb2,52.7526441,41.0963348,228.443148,#0089af,51.2514188,41.8166351,228.297091,#0089ae,51.2555751,41.7912181,227.742548,#0088af,51.1456725,41.8356906,228.72858
1.5,#008cae,52.5814399,40.8996742,224.560134,#008aa9,51.295296,41.354786,222.642891,#008aa7,51.3365324,41.304003,219.673906,#0089a7,51.1644124,41.1787095,220.61287
2,#008ea6,52.847124,40.3410096,216.338932,#008aa3,51.2792992,41.4549396,216.24221,#008aa3,51.2892502,41.3257769,216.38314,#008aa3,51.2032652,41.0635444,216.269044
3,#00909c,52.9328736,41.0153255,206.121487,#008c9a,51.3222437,42.0620194,207.029601,#008c9a,51.4368804,41.8930156,207.046339,#008c99,51.4211185,41.7026487,206.531284
4,#009098,52.9673399,41.6327643,201.562123,#008d95,51.7415382,42.1975322,201.503866,#008d90,51.6130198,42.9619866,197.911062,#008d95,51.4694472,42.1673037,202.295329
5,#009193,53.055982,42.3988943,196.871255,#008e8f,51.9160067,43.2547434,195.728573,#008d90,51.6130198,42.9619866,197.911062,#008d90,51.5818168,42.8122594,197.723989
7.5,#00938a,53.437379,43.6194517,189.157916,#009086,52.1803555,45.2481122,188.211621,#009084,52.0423557,45.6141661,187.172585,#008f88,51.8296859,44.3434261,190.808381
10,#008cb2,52.7293922,41.1320111,228.478083,#00927c,52.5468866,47.4496026,180.407064,#00917c,52.3537611,47.3705115,180.724957,#009178,52.3921469,48.2613148,177.785842
15,#009483,53.6507162,44.3429291,183.158317,#00956b,53.4103392,51.9060074,168.039594,#009471,53.3475295,50.2082638,171.902916,#009179,52.4620348,47.6915978,177.951788
20,#009777,54.5634099,47.8896448,173.059375,#00956d,53.6656376,51.159533,168.619165,#009767,54.1042282,52.9357032,164.638903,#009471,53.1992545,49.4287932,171.57059
25,#00996f,55.1459371,49.8777801,167.183305,#009864,54.5527528,53.4037129,162.31506,#009863,54.5806531,53.568833,161.993693,#009668,53.760422,52.0681974,165.849649
30,#009b69,55.8440155,51.4165056,162.726054,#009960,55.178448,53.7791605,159.065804,#009b5d,55.6675372,55.1260584,156.970844,#009763,54.5097793,52.8279467,161.647258
35,#009c64,56.450011,52.7324513,159.021592,#009b59,56.0361412,55.864915,154.279256,#009c58,56.1367636,56.3951669,153.948194,#009a5c,55.4033631,55.020792,156.527356
40,#009c6c,56.6212562,49.7352483,162.531031,#009d54,56.8103608,57.0334172,151.041321,#179f52,57.6540041,57.2321114,148.489363,#009b59,55.9716551,55.3832544,154.190141
45,#14a05d,58.219189,54.1328048,152.517935,#1ea050,58.0382645,57.7896228,147.145362,#18a052,57.912596,57.420295,148.358648,#099e54,57.0999712,56.5431461,150.268118
50,#35a450,59.7407576,57.3515999,143.904769,,,,,,,,,#26a04e,58.2804137,58.0766713,145.61184
55,#3aa44d,59.9097429,57.9937884,142.062476,#24a250,58.6797402,58.0064847,146.381952,#2ca24d,59.0320186,58.7884244,144.449442,#34a34c,59.3103658,58.4583391,142.951846
60,#50a947,62.1695221,59.2016981,135.959601,#3da649,60.4634252,59.4493359,140.492531,#34a44c,59.8236747,58.9678434,142.894766,#3ba54b,60.1391797,58.8917916,141.324303
65,#50aa4a,62.4047039,58.5248665,136.748831,#49a845,61.5444687,60.3633406,137.038259,#47a848,61.3958394,59.5553346,138.244861,#4ca843,61.6180151,60.6822216,135.839731
