,,,,,,,,,,,,,,,,
Mix%,Face A,,,,Face B,,,,Face C,,,,Face D,,,
,HEX1,L1,C1,h1,HEX2,L2,C2,h2,HEX3,L3,C3,h3,HEX4,L4,C4,h4
0,#e2afc1,76.4415168,21.3406407,355.021238,#e1afc0,76.3998586,21.061808,355.56161,#e1aec0,76.3982356,21.2834942,355.662638,#e1aec0,76.3054601,21.3917935,355.348242
0.5,#e1aebf,76.2647491,21.0440007,356.425493,#e0aebe,76.2093285,20.4886388,358.563664,#e1aebe,76.2851311,20.6179361,359.069612,#e0aebe,75.9931405,20.9126235,356.922743
1,#e1aebf,76.313652,20.7973616,357.535171,#e0aebe,76.2458201,20.5243791,358.095198,#e1afbe,76.3816158,20.700567,358.299468,#e0aebe,75.997002,20.8426124,357.859472
1.5,#e1aebe,76.2741529,20.5854776,358.413188,#e0aebe,76.1678837,20.4106311,358.572449,#e0aebd,76.238484,20.4122233,359.801956,#e0aebd,76.0440914,20.5516822,359.182786
2,#e0afbd,76.2663075,20.3769707,359.739334,#e0aebd,76.1706618,20.1440362,0.221432498,#e0aebd,76.2013578,20.3745631,359.768315,#e0aebc,75.9989692,20.4362447,359.65173
3,#e0afbc,76.2439628,20.1277754,1.11572924,#dfaebb,76.063589,19.8755111,1.70959891,#e0afbb,76.1957258,20.0027746,2.16950051,#e0aebb,75.9867896,20.1695838,1.30273091
4,#e0afbb,76.1682405,19.8061295,2.71433346,#deaeba,75.8151583,19.5178329,3.32129888,#dfafba,76.1180629,19.684548,3.64310551,#dfaeba,75.7812324,19.8883518,3.3218975
5,#dfafba,76.0819539,19.6424834,4.44179818,#dfafb9,75.9843699,19.366704,5.2893038,#dfafb9,76.0367636,19.4935092,5.59342766,#dfaeb9,75.8332736,19.6167096,4.98995269
7.5,#deafb7,75.9539087,19.095081,7.67383812,#deaeb5,75.7943943,18.8612663,10.4950143,#deafb5,75.8706982,18.8699386,11.835374,#deaeb6,75.6528794,19.1375102,8.67864467
10,#ddaeb4,75.6689077,18.5615025,12.6830516,#ddafb2,75.6378297,18.4356613,15.0915057,#ddafb3,75.6841043,18.5495781,14.556646,#ddaeb3,75.5074843,18.7020103,13.2362777
15,#ddafb4,75.7585447,18.2143334,13.2169497,#dbaeaa,75.2912634,18.5521882,28.6704713,#dcafac,75.4403858,18.3496952,25.5332708,#dcaeb0,75.3945901,18.2938209,18.7365659
20,#dbafae,75.4554098,17.8513585,22.4855462,#daaeaa,75.1177483,17.9396887,28.1564685,#daafa6,75.0987413,18.6001525,34.7077074,#daaeac,75.10363,17.8428313,24.3877144
25,#d9afaa,75.1622813,17.5806181,29.5400629,#d8aea5,74.7874456,18.2152099,37.1148905,#d8aea3,74.8421213,18.7902526,40.037975,#d8aea9,74.8137219,17.6863485,29.5769407
30,#d8afa5,74.909034,17.9235046,37.3046691,#d7aea2,74.6133149,18.398473,41.6044945,#d7ae9f,74.6150135,19.114878,45.4365882,#d7aea5,74.5585373,17.7469349,35.5730445
35,#d6afa0,74.7103449,18.720331,45.2184241,#d5ae9c,74.4036685,19.4938012,49.679921,#d5ae9b,74.4083544,19.8447574,50.804268,#d5ae9f,74.3431944,18.7877314,45.1963317
40,#d6afa6,74.7145042,16.9795007,36.6228669,#d4ae98,74.1184035,20.2974247,54.5262825,#d4ae97,74.1500554,20.7711242,56.4238041,#d4ae9d,74.1437517,18.8851301,48.1945451
45,#d3af9c,74.2786046,18.8384332,51.5408236,#d2ae94,73.8804975,21.2585888,59.7019924,#d3ae98,74.1054956,20.1494259,56.1862659,#d2ae9a,73.9185403,19.4098853,53.0905344
50,#d1af91,73.9038687,22.5461629,63.9911249,#d2ae98,73.9533504,19.8967583,56.5967163,#d2ae9a,74.1010279,19.2855686,54.3357122,#d0ae91,73.5564072,21.8681366,63.3961212
55,#d1af8f,73.8008209,23.2894616,66.1498722,#d1ae98,73.9548116,19.8637439,57.7057449,#d1ae93,73.8684431,21.5127243,61.9480904,#d0ae91,73.572277,21.9214286,63.5140064
60,#cfaf8a,73.5891947,24.9602147,70.5029867,#d0ae93,73.7332019,21.2208009,63.1335542,#d1af94,73.8538246,20.9349986,61.7644119,#cfae90,73.4053724,22.2445523,65.7212337
65,#cfaf8e,73.7451385,23.130199,68.3375766,#cfaf90,73.6293045,22.2271738,66.3092615,#cfaf91,73.7139451,21.9845408,66.1392858,#ceae8d,73.3960822,23.3917584,68.726432
70,#ceaf8b,73.4822145,24.3642537,71.1909622,#ceae8c,73.4038291,23.7437295,69.8273585,#ceaf8e,73.5830477,22.7369934,68.2143083,#cdae89,73.1542584,24.486631,71.457778
75,#cdaf89,73.4461486,24.9560755,73.0438979,#cdaf8a,73.3525657,24.476088,72.0453639,#ceaf8d,73.5207008,23.0970225,69.9108766,#ccae87,73.0384789,25.2575522,73.2805263
80,#ccaf87,73.2691816,25.6993036,74.8813942,#ccaf88,73.2701313,25.2746127,74.017433,#cdaf8a,73.3828794,24.2272948,72.3811332,#cbae87,72.8765657,25.2512113,73.9836782
85,#cbaf84,73.0823722,26.5637997,76.5809185,#ccaf89,73.2007729,24.4838665,73.8898325,#ccaf88,73.3005427,24.8518912,74.1632071,#caae87,72.9038111,25.0535851,75.0044154
90,#cbaf87,73.1067422,25.2266898,75.3514839,#cbaf86,73.1167721,25.7205684,76.0196114,#ccaf87,73.2076348,25.2565088,74.8732681,#cbae87,72.994134,25.0430236,74.4809801
92.5,#cbaf85,73.1501097,26.2382592,77.2646185,#caaf84,73.0111895,26.3298286,77.1821012,#caaf85,73.0711663,26.0324215,76.8665507,#caae83,72.7756116,26.560474,77.5014079
95,#caaf84,73.0556826,26.4839755,77.7603196,#caaf84,73.0290162,26.4227236,77.7974734,#caaf84,73.0105265,26.6233366,77.8206793,#c9ae82,72.6238228,26.7063608,77.9574695
96,#caaf84,73.0684406,26.4581447,77.9027797,#caaf83,72.9810667,26.66198,78.0256672,#caaf84,72.999031,26.6238586,77.8910322,#c9ae82,72.6252152,26.8643061,78.1446103
97,#caaf84,73.0042744,26.6058112,78.1431723,#caaf83,72.9917713,26.6995164,78.2058938,#caaf83,72.9679748,26.7989376,78.1484253,#c9ae82,72.572732,26.7946602,78.2518137
98,#caaf83,72.9953949,26.6712051,78.2797566,#c9af83,72.8680584,26.816646,78.4150258,#caaf83,72.8977768,26.7112621,78.1773443,#c9ae82,72.6581906,26.8199982,78.3873432
98.5,#c9af83,72.9262117,26.729441,78.4771652,#c9af83,72.8828424,26.7949749,78.5537967,#c9ae83,72.8387913,26.7782864,78.3773753,#c9ae82,72.6901253,26.8653597,78.4790566
99,#c9af83,72.9387808,26.6602964,78.4298357,#c9af83,72.8490569,26.8680896,78.5407301,#c9ae83,72.79774,26.8294033,78.463022,#c9ae82,72.6337178,26.9206008,78.5384923
99.5,#c9af82,72.8586695,26.9553239,78.6700886,#c9ae82,72.7120399,26.7864809,78.5290594,#c9af83,72.9107589,26.8554375,78.4857062,#c8ad82,72.4348859,26.8689586,78.6860645
100,#caaf83,73.0245677,27.0133656,78.6605048,#c8ad82,72.414669,26.5384182,78.5550512,#cbb085,73.4740581,26.269198,78.35285,#c8ad81,72.2703776,26.7412353,78.5451024
