,,,,,,,,,,,,,,,,
Mix%,Face A,,,,Face B,,,,Face C,,,,Face D,,,
,HEX1,L1,C1,h1,HEX2,L2,C2,h2,HEX3,L3,C3,h3,HEX4,L4,C4,h4
0,,,,,#cbc80e,78.8853067,77.6593901,98.8123047,#cbca00,79.2991038,79.3496576,99.0206593,#cdcb00,79.8811967,80.1023371,98.9140944
0.5,#cbc60a,78.3771907,77.5303237,98.0849139,#c9c315,77.2364061,75.1767383,97.6342011,#cac509,77.9941736,77.3146669,98.0014184,#cac70d,78.4540212,77.4180052,98.5823336
1,#ccc212,77.4699378,75.7012304,96.6720583,#c9c115,76.7578509,74.6227619,96.8074656,#cac212,77.1037213,75.449356,96.7671755,#cbc212,77.1628961,75.5084069,96.679156
1.5,#ccc013,76.6825298,74.8868773,95.615547,#cbbd18,76.0459751,73.5576403,95.2800135,#cbbd14,75.9568766,74.1519113,94.9718111,#cbbd13,76.0778829,74.4343685,95.1520732
2,#ccbb18,75.6252128,73.2073371,93.9491063,#cbba19,75.0503969,72.3909233,93.8752772,#cbbb15,75.3003739,73.3009303,94.1213397,#cbbb17,75.3340266,73.065878,93.9562345
3,#cdb51d,74.0592723,70.8272161,91.3110336,#ccb41c,73.6809079,70.6315051,91.3753478,#cbb51b,73.7741935,70.9191674,91.6508035,#ccb41b,73.7196389,70.9118637,91.1773326
4,#cdb020,72.6729887,69.0594627,88.9759013,#ccae1f,72.2076528,68.8597558,88.9482965,#ccaf20,72.2419551,68.6837062,89.0541047,#ccae20,72.2486512,68.7224906,88.7239142
5,#cda923,71.041829,67.2213671,86.1169985,#cba922,70.6845069,66.9090741,86.4971556,#cca922,70.9249204,67.0635723,86.7636812,#cca922,70.7805309,67.1457879,86.2804277
7.5,#cda126,68.9948713,64.8282358,82.6351276,#cb9f28,68.161311,63.7681941,81.6243491,#cba127,68.7751316,64.4601046,82.8767531,#cca127,68.7001543,64.5195238,82.5123206
